icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
76b44b,1662210947.0,,1662213314,,SIA438  ,WSAP,,,,Boeing 737 MAX 8,B38M,9V-MBK
4ca214,1662234405.0,,1662245012,,EIN8TG  ,,,EICK,,A320-214,A320,EI-DEE
a67960,1662221075.0,,1662224083,,SKW6278 ,KPHX,,KABQ,,ERJ 170-200 LR,,N516SY
a91382,1662217025.0,,1662219551,,EJA684  ,,,KPDK,,680A,,N684QS
800d9d,1662171833.0,,1662173714,,IGO7175 ,VAID,,,,,AT76,VT-ITR
8963bd,1662171319.0,,1662177251,,ABY663  ,,,OMSJ,,A320 214SL,A320,A6-ANV
8682fc,1662151941.0,,1662230897,,JAL061  ,KLAX,,KSFO,,777 346ER,B77W,JA741J
a3d1e2,1662170588.0,,1662172936,,N345WN  ,,,WA07,,UH-1H,,N345WN
a025aa,1662200763.0,,1662210539,,N1086V  ,KACY,,ME66,,R172K,,N1086V
aa34cf,1662209323.0,,1662210043,,N757HX  ,VA10,,08VA,,152,,N757HX
4ca993,1662209468.0,1662209469.0,1662217280,1662217260.0,ITY060  ,LIRF,LIRF,LEMD,LEMD,A320-214,A320,EI-IKF
a50a90,1662245506.0,,1662247935,,AWI3788 ,KGRB,,KORD,,CL-600-2B19,CRJ2,N424AW
4ca736,1662217504.0,,1662221481,1662221480.0,RYR6BE  ,,GMFF,LFBO,LFBO,BOEING 737-8AS,B738,EI-EBM
ab47fe,1662166638.0,,1662167550,,N826JS  ,KPNS,,KPNS,,M20R,,N826JS
8a0712,1662227842.0,,1662229457,,KNE412  ,,,OEDF,,Boeing 737-8GP,B738,PK-LPS
a6feb2,1662239460.0,,1662243006,,N55SR   ,,,PANC,,200,BE20,N55SR
773645,1662242859.0,,1662245543,,ALK174  ,VOBL,,,,A320 232,A320,4R-MRE
4ca85c,1662182321.0,,1662184979,,ITY1460 ,LIPZ,,LIRF,,A320-216,A320,EI-EIB
