icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
adfe55,1662048417.0,,1662051457,,PAT012  ,KGRF,,KGRF,,C-12R Huron,BE20,94-00326
4bb1e6,1661991916.0,,1661993969,,THY3UD  ,,,LTBA,,Airbus A330-343E,A333,TC-LOF
a314d9,1662065628.0,,1662069282,,SKW3592 ,KSMF,,KLAX,,ERJ 170-200 LL,E75L,N298SY
152057,1661990405.0,,1661991599,,SVR291  ,UUDD,,,,,,
a67d17,1662046594.0,,1662055283,,SKW6264 ,KLAX,,KSEA,,ERJ 170-200 LR,,N517SY
0d0d36,1662005896.0,,1662007044,,VOI5653 ,,,,,Airbus A320-272N,A20N,XA-VRY
44cdc8,1662020251.0,,1662025765,,BEL5CG  ,EBBR,,LFMN,,A320 214,A320,OO-SNH
4baa4a,1662012904.0,,1662027489,,THY3136 ,,,UUWW,,A321 231,A321,TC-JRJ
a2c4cb,1662046452.0,,1662047291,,N278GA  ,,,KFCM,,GULFSTREAM 200,G200,N278GA
4cac5f,1662047331.0,,1662050859,,EIBUN   ,EIWT,,EIWT,,Beech 76 Duchess,BE76,EI-BUN
800738,1662025459.0,,1662055087,,AIC834  ,OMDB,,VIDP,,787 8,B788,VT-ANR
a22702,1662044822.0,,1662047136,,JBU92   ,MA72,,KJFK,,ERJ 190-100 IGW,E190,N238JB
c04814,1662062197.0,,1662066140,,ROU1571 ,,,CYUL,,A319-114 (Airbus),A319,C-GBHR
39d307,1662060618.0,,1662065658,,TVF56RZ ,LEMD,,LFPO,,Boeing 737-86N,B738,F-HUYH
a49d22,1661994575.0,,1662008439,,DAL477  ,KLAX,,KATL,,A321-211,,N397DN
aaaa93,1662050152.0,,1662053865,,N787AM  ,KFFC,,64GA,,DA 42 NG,,N787AM
adb027,1662059411.0,,1662060605,,N981PG  ,KCCR,,KDWA,,SR22T,,N981PG
3c5423,1662005746.0,,1662008668,,BCS3316 ,EKCH,,ENGM,,A300 B4-622RF,A306,D-AEAC
a58672,1662049547.0,,1662059982,,UAL1767 ,KDEN,,KDCA,,A320-232,A320,N455UA
a180e9,1662060759.0,,1662061898,,N19603  ,1NC8,,KHBI,,172L,,N19603
800d2d,1662045061.0,,1662048376,,IGO5004 ,,,VIDP,,,A20N,VT-IZF
888176,1662025561.0,,1662033959,,HVN579  ,RCTP,,VVNB,,Airbus A321-272N,A21N,VN-A501
a4a6a4,1662065130.0,,1662066573,,N3990V  ,KPOU,,KMGJ,,R172K,,N3990V
a23f0d,1662056636.0,,1662070558,,N244C   ,KSLC,,KHPN,,FALCON 2000EX,,N244C
acc3b4,1662070567.0,,1662074130,,AAL1162 ,KBOS,,KPHL,,A321-231,A321,N921US
346088,1662010902.0,,1662013046,,VLG7EB  ,LEBL,,,,Airbus A320-214,A320,EC-MYB
406668,1661990475.0,,1661995077,,EZY45MK ,LFBO,,EGKK,,AIRBUS A320-214,A320,G-EZUN
151e66,1662017891.0,,1662024236,,NWS370  ,,,,,Boeing 737-82R,B738,RA-73318
a4ee2e,1661995643.0,,1662001669,,AAL1648 ,KMCO,,KDCA,,A321-253NX,,N417AN
8014dd,1661999764.0,,1662016611,,VTI116  ,,,VIDP,,,,
adbb49,1662039231.0,,1662042910,,N984PD  ,40AR,,62AR,,,,
4ca935,1662029018.0,,1662037376,,EIN4XH  ,LPPT,,EIDW,,A320-214,A320,EI-DVL
4bb859,1662002047.0,,1662005504,,PGT1860 ,,,LCEN,,Airbus A320-251N,A20N,TC-NBY
a1bdb7,1662046688.0,,1662047426,,N211FA  ,KLNS,,KRDG,,SR20,,N211FA
46bc50,1662021012.0,1662020918.0,1662022310,1662022411.0,OAL272  ,LGAV,LGAV,LG56,LGHI,,,
a878e2,1662043862.0,,1662045289,,N645MA  ,KMIE,,9OH7,,PA-46-600TP,,N645MA
344692,1662034160.0,1662034161.0,1662040352,1662040335.0,VLG613B ,EHAM,EHAM,LEBL,LEBL,A320 232SL,A320,EC-MER
a600e4,1661991910.0,,1661998663,,SWA1139 ,,,KFLL,,737-7H4,B737,N486WN
aacd83,1661990556.0,,1661993234,,N7954G  ,KRIU,,KAUN,,172L,,N7954G
345688,1662033824.0,,1662038384,,ANE35MN ,GMMN,,LEMD,,CRJ-1000,CRJX,EC-MUG
a0bf90,1662050047.0,,1662067963,,UAL494  ,KSNA,,KEWR,,737-724,B737,N14735
a35de5,1662023259.0,,1662027559,,JBU2555 ,KBOS,,KDCA,,ERJ 190-100 IGW,E190,N316JB
343358,1662051729.0,1662051718.0,1662054855,1662054799.0,GES232E ,LEBL,LEBL,LEMD,LEMD,G200,G200,EC-LAE
34610f,1662018233.0,,1662021474,,VLG5FX  ,LEMG,,,,Airbus A320-271N,A20N,EC-NCS
a0e197,1662029853.0,,1662047698,,N156ML  ,KCRG,,KF69,,525,C525,N156ML
a8e0de,1662055713.0,,1662061426,,EJA671  ,KFLL,,7NC9,,680A,,N671QS
a08209,1662058440.0,,1662061453,,N13151  ,KBED,,KBED,,172S,,N13151
471ee2,1662019458.0,,1662026505,,WZZ6408 ,EDDB,,,,Airbus A320-232,A320,HA-LSC
4b17fd,1662051030.0,1662051034.0,1662055291,1662055289.0,SWR349R ,EGLL,EGLL,LSGG,LSGG,BD-500-1A11 (CS300),,HB-JCF
a5e3e4,1662067800.0,,1662072880,,EDV4856 ,KLGA,,KAVL,,CL-600-2D24,,N479PX
80138c,1662028542.0,,1662029637,,IAD678  ,,,,,Airbus A320-214,A320,VT-KTM
151e4e,1662043538.0,,1662056755,,PBD506  ,ULLI,,URML,,,,
a4acae,1662053122.0,,1662057460,,AAL432  ,KPHX,,,,A321-253NX,,N400AN
c8196a,1662041811.0,,1662044301,,APK65   ,NZPM,,NZCH,,737 476,B734,ZK-JTQ
3949e9,1662008766.0,,1662014487,,AFR073  ,,,LFPG,,777 228ER,B772,F-GSPJ
e4956f,1661990409.0,,1661992975,,GLO1451 ,,,SBSP,,Boeing 737-86N,B738,PR-GZI
a88ac3,1662045178.0,,1662051139,,N65DY   ,KGRB,,KGRB,,,,
a4f1d8,1662059774.0,,1662062502,,N418A   ,,,AR35,,TBM 700,TBM7,N418A
a4d38a,1662033772.0,,1662037701,,N41UA   ,,,KSAT,,45,LJ40,N41UA
a7e930,1662034935.0,,1662046392,,FDX400  ,KPDX,,,,MD-11F,MD11,N609FE
a4e395,1662027948.0,,1662033581,,N414GC  ,KLUK,,,,414,,N414GC
4075e0,1662018713.0,1662018666.0,1662032209,,EZY78ZK ,EGKK,EGKK,,GCTS,Airbus A321-251NX,A21N,G-UZMB
adbb18,1662063935.0,,1662065240,,N984ME  ,TE13,,KSAT,,MBB-BK 117 C-2 (EC145),EC45,N984ME
a34e76,1662055067.0,,1662055840,,N312CE  ,CT29,,KLZD,,R66,R66,N312CE
ad928e,1661990406.0,,1661999359,,AAL2448 ,,,KEWR,,737-823,B738,N974AN
4b15ee,1662008645.0,1662008646.0,1662015578,,EDW364  ,LSZH,LSZH,,LGSK,A320-214,A320,HB-IHY
a0186a,1662040086.0,,1662041632,,N105MR  ,KLAL,,KLAL,,SERIES 100 MDL 101,,N105MR
3ff7f7,1662053413.0,,1662055351,,DMADA   ,EDRF,,RHST,,AutoGyro MT,GYRO,D-MADA
3ce594,1662017824.0,1662017567.0,1662020216,1662020214.0,ECA3GA  ,EGLF,EGLF,EGKB,EGKB,Cessna 525B Citation CJ3,C25B,D-COGA
a1d6ca,1662045998.0,,1662046887,,N21764  ,48CO,,KGXY,,,,
e0a445,1662067526.0,,1662068847,,JES3660 ,SABE,,,,Airbus A320-232,A320,LV-JQE
a4e7c7,1662056710.0,,1662057347,,FTH415  ,PANC,,PAED,,G-IV,,N415MA
a1d7ea,1662041556.0,,1662044148,,HAL59   ,KSMF,,,,A321-271N,,N218HA
4aca53,1662026933.0,1662026934.0,1662028559,1662028534.0,NSZ3085 ,EKYT,EKYT,EKCH,EKCH,737-8JP (W),B738,SE-RRS
440057,1662025130.0,1662025132.0,1662033509,1662033503.0,EJU95BX ,LSGG,LSGG,LPPT,LPPT,,,
c01a5a,1661990404.0,,1661993634,,JZA997  ,,,CYVR,,CL-600-2D24 (Series 900) (Bombardier),CRJ9,C-FJZL
ac0fb6,1662004160.0,,1662006558,,SWA281  ,,,KLAX,,737-8,,N8765Q
8013a2,1662055638.0,,1662057366,,IGO386  ,,,VOBL,,Airbus A320-271N,A20N,VT-IJL
14f124,1662038385.0,,1662041909,,52380   ,UUMU,,,,,,
a6fa94,1661991076.0,,1661993336,,JIA5501 ,KSAV,,KUZA,,CL-600-2D24,CRJ9,N549NN
7c81cc,1662007067.0,,1662008489,,WP1     ,YPEC,,YSSY,,AW.139,A139,VH-ZXA
88818e,1661996306.0,,1661997612,,HVN245  ,VVGL,,,,Boeing 787-10 Dreamliner,B78X,VN-A879
7cc3f0,1661991649.0,,1661993334,,R8766   ,YMND,,YMND,,,,
a7f286,1662000753.0,,1662002476,,ASA425  ,,,KSEA,,737-790,B737,N611AS
a3e011,1662042570.0,,1662047245,,EDV5452 ,KDTW,,KJFK,,CL-600-2D24,CRJ9,N349PQ
46ced4,1662041591.0,1662041395.0,1662043073,,SEH352  ,LGAV,LGAV,,LGSR,ATR 72-600,AT76,SX-SVT
405635,1662034221.0,1662034201.0,1662041890,,EZY61FT ,EGKK,EGKK,LEMP,LEMI,AIRBUS A319-111,A319,G-EZDF
48ae86,1662068382.0,,1662073930,,LOT729  ,EPWA,,,,Boeing 737-86N (W),B738,SP-LWG
abdbcc,1662072478.0,,1662074581,,GAJ863  ,,,KTIW,,B300,B350,N863UP
a145b7,1662060713.0,,1662063975,,EDV5529 ,,,KLGA,,CL-600-2D24,CRJ9,N181PQ
e49925,1662048811.0,,1662050489,,COMETA42,SBYS,,,,Embraer T-27M Tucano,TUCA,FAB1383
4ca857,1662037000.0,,1662049968,,RYR4GY  ,LPFR,,EPMO,,BOEING 737-8AS,B738,EI-EMO
adddda,1662060052.0,,1662062110,,DAL2214 ,KATL,,,,717-200,B712,N993AT
adfcb7,1662055293.0,,1662060170,,CONGO21 ,KNPA,,KNPA,,T-1A Jayhawk,BE40,93-0631
7cf9f6,1662001581.0,,1662003306,,ROLR21  ,,,,,PC-21,PC21,A54-031
7504d9,1662008916.0,,1662009593,,9MCGA   ,,,WMSA,,,,
ab2ea6,1662046720.0,,1662048039,,N82BL   ,KHDC,,KL38,,PA-23-250,,N82BL
800c42,1661995097.0,,1662006713,,AIC965  ,,,,,,,
a97722,1662000841.0,,1662001589,,N709MT  ,KRVS,,93OK,,407,B407,N709MT
a77a35,1661994047.0,,1661995223,,N581G   ,,,KL38,,58,,N581G
a2da60,1662049381.0,,1662057187,,AAY907  ,KMDT,,20FL,,A320-214,,N283NV
