icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
a2589d,1662150524.0,,1662153975,,N250MM  ,,,KELA,,58P,,N250MM
a2a13d,1662133042.0,,1662134398,,N269JJ  ,CT52,,KFRG,,SR20,,N269JJ
a3aff0,1662150133.0,,1662151970,,N337BG  ,OH45,,K1G0,,PA-28-181,,N337BG
c08095,1662132915.0,,1662137000,,WJA160  ,CYVR,,CYEG,,737-8CT (Boeing),B738,C-GWSA
e49591,1662119916.0,,1662120863,,AZU4049 ,SBKP,,,,Airbus A320-251N,A20N,PR-YSC
a4ee3b,1662148961.0,,1662159732,,RAX777  ,,,KPTK,,35A,LJ35,N417BA
c90002,1662104433.0,,1662106720,,AVN20   ,,,YBBN,,737NG 8SH/W,B738,YJ-AV8
c0636a,1662122913.0,,1662127699,,POE384  ,KMDW,,CYTZ,,DHC-8-402 (Dehavilland),DH8D,C-GLQV
abeca0,1662129510.0,,1662135814,,SKW5358 ,KBOI,,KSFO,,CRJ 200ER,CRJ2,N868AS
3c5ef5,1662100789.0,1662100790.0,1662103766,1662103753.0,GWI8059 ,EDDK,EDDK,EDDB,EDDB,Airbus A319 132,A319,D-AGWU
a0ae33,1662151261.0,,1662153649,,DAL1035 ,KBOS,,KJFK,,BD-500-1A10,,N143DU
e8032a,1662083057.0,,1662084762,,SKU536  ,SABE,,,,,A20N,CC-AZG
a8ee50,1662082476.0,,1662084825,,ENY4220 ,KORD,,2MN8,,EMB-145LR,,N675AE
a975fe,1662100809.0,,1662102620,,N709AA  ,VTBD,,,,G-V,GLF5,N709AA
4a08ed,1662097518.0,1662097494.0,1662110666,1662110665.0,ROT415A ,LROP,LROP,LEMD,LEMD,737-800,B738,YR-BGM
86e8ac,1662078728.0,,1662081249,,ANA293  ,RJTT,,,,737-8AL,B738,JA87AN
aa7fa1,1662139534.0,,1662149361,,DAL576  ,,,KATL,,737-8EH,B738,N776DE
ae149e,1662137688.0,,1662141320,,MNTNA42 ,,,TX04,,T-44A Pegasus,BE9L,160842
4d02d8,1662115819.0,1662115820.0,1662120173,1662120172.0,JFA05J  ,LFPB,LFPB,LFLI,LFLI,Pilatus PC-12 NGX,PC12,LX-RUM
a26f6f,1662142740.0,,1662148065,,SKW136X ,KSLC,,KBUR,,ERJ 170-200 LR,E75L,N256SY
a915db,1662142924.0,,1662149655,,N685AS  ,KFLL,,KHKY,,EMB-500,E50P,N685AS
a0e514,1662072388.0,,1662077734,,N157KC  ,8MI4,,II74,,172S,,N157KC
ac81d2,1662082290.0,,1662089374,,AAL1559 ,KORD,,KDFW,,A321 231SL,A321,N905AU
acc5cb,1662126816.0,,1662128458,,N922CA  ,KPSM,,KPSM,,RV-12,,N922CA
a539fe,1662126481.0,,1662129353,,N436G   ,83FL,,GA20,,PA-28-181,,N436G
c82953,1662108133.0,,1662119097,,ANZ256  ,YMML,,NZWN,,Airbus A320-271N,A20N,ZK-NHF
