icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
89902c,1662005483.0,,1662007346,,MDA1268 ,,,RCSS,,A320 232SL,A320,B-50017
8a08db,1661990407.0,,1661992332,,SJV946  ,,,,,Airbus A320-232,A320,PK-SJA
a9819b,1662027522.0,,1662030382,,AAL2865 ,KUUU,,KPHL,,A319-112,A319,N711UW
c02e9b,1662057741.0,,1662061762,,JZA988  ,CYYZ,,KLGA,,ERJ 170-200 SU (Embraer),E75S,C-FRQW
5001d7,1662031800.0,,1662033944,,T7VBS   ,,,WMSA,,Bombardier Global Express,GLEX,T7-VBS
407630,1661990404.0,,1661991569,,EXS12PY ,,,EGSS,,Boeing 737-8MG,B738,G-JZBR
aa353d,1661996127.0,,1661998116,,N757NG  ,AR88,,KHOT,,152,,N757NG
7c81de,1662009857.0,,1662013427,,RXA9944 ,YMAY,,YSSY,,340 B,SF34,VH-ZXS
acc130,1662027405.0,1662027428.0,1662041080,1662040947.0,N92049  ,LFLU,LFLU,EHRD,EHRD,182M,,N92049
84655a,1662022584.0,,1662024989,,ANA1097 ,RJTT,,,,,,JA136A
402e3a,1662034421.0,,1662043817,,GBPVA   ,EGTP,,EGCB,,CESSNA 172F Skyhawk,C172,G-BPVA
346091,1662008231.0,,1662011903,,VLG1VX  ,LEMG,,LEMH,,Airbus A320-271N,A20N,EC-NCF
800d09,1662042753.0,,1662046228,,IGO5302 ,,,,,,A20N,VT-IZB
ad86ca,1662071553.0,,1662072689,,N97055  ,KLCI,,K63B,,172P,,N97055
ad6415,1662047537.0,,1662051762,,FDX3638 ,KRDU,,KIND,,757-2G5,B752,N962FD
a8bbdb,1662054015.0,,1662054892,,N662CB  ,,,KJWN,,550,C55B,N662CB
344544,1662009052.0,,1662012218,,BCS5780 ,EKCH,,,,737 4Y0SF,B734,EC-MAD
a6520a,1662050949.0,,1662056929,,GAJ506  ,KCRQ,,KSLC,,560XL,C56X,N506UP
abe501,1662049483.0,,1662058614,,SWA738  ,KMCO,,TJSJ,,737-8H4,B738,N8659D
486427,1662021035.0,,1662022379,,PH4V1   ,,,EHKD,,TL-Ultralight TL-3000 Sirius,TL30,PH-4V1
ad89ec,1662037966.0,,1662038578,,N9711W  ,K21D,,KRNH,,PA-28-140,,N9711W
a114ed,1662062072.0,,1662075318,,UPS328  ,KSDF,,TJSJ,,A300 F4-622R,A306,N169UP
ad857e,1662009354.0,,1662024357,,AAL707  ,KLAX,,KUZA,,A321-231,A321,N970UY
a1e60e,1662050673.0,,1662055053,,SKW4800 ,,,K9X1,,CL-600-2B19,CRJ2,N221PS
3c6635,1662016521.0,,1662022577,,DLH62X  ,EDDM,,LEBL,,A320 211,A320,D-AIQU
a1b024,1662040684.0,,1662052469,,ACO451  ,KSTL,,KBNA,,208B,C208,N208EE
a6bd78,1662005905.0,,1662013728,,VOI970  ,,,KSMF,,A320-271N,,N533VL
abf53e,1662043687.0,,1662045628,,N87NW   ,,,,,B100,BE10,N87NW
